EXTraS_Ape_v0.OBS_ID,EXTraS_Ape_v0.XMM_RA,EXTraS_Ape_v0.XMM_DEC,EXTraS_Ape_v0.XMM_EP_8_FLUX,EXTraS_Ape_v0.XMM_EP_8_FLUX_ERR,main_id,ra,dec,otype,main_type,other_types,plx,plx_err,B,V,R,J,H,K,u,g,r,i,z,distance_pc,distance_ly,distance_cm,XLuminosity,VisibleLuminosity
690743701,83.2555,-68.7817,6.722030176004078e-15,4.166189996343637e-15,RM 1-591,83.2557773856,-68.7805497286,*,Star,NIR|*|MIR,0.009,0.0124,15.7,13.8,,11.006,10.177,9.963,,,,,,111111.11111111112,362395.5555555556,3.428530644444445e+23,9.929477428243772e+33,2.5374971176283647e+38
690743701,83.0639,-68.7899,4.599670118529339e-15,2.304510045858803e-15,OGLE LMC517.12.012720,83.0650331383,-68.7896395219,EB*,EclBin,NIR|*|EB*,0.6812,0.0254,,15.743,15.34,14.33,13.992,13.849,,,,,,1467.997651203758,4787.962419260129,4.529767439812096e+21,1.1860100285577888e+30,2.446893429687011e+33
690743801,83.2712,-68.6153,1.5505000779928065e-14,4.305930103849862e-15,HD 269738,83.2716418792,-68.6149101169,*,Star,NIR|*,2.4888,0.0134,11.73,11.28,,10.223,10.027,9.966,,,,,,401.8000642880103,1310.4950176792026,1.239825450016072e+21,2.995040850439428e+29,1.4990398162873172e+34
690743801,83.6306,-68.4656,1.0075700006045765e-14,6.0844498418809265e-15,HD 269778,83.6305808753,-68.4656564452,*,Star,NIR|*,1.2304,0.5728,12.55,12.23,11.58,10.775,10.565,10.537,,,,,,812.7438231469441,2650.812743823147,2.5078653933680103e+21,7.963308440692201e+29,2.7155513767843008e+34
690743801,83.7858,-68.4702,4.6514598305068345e-15,4.252730082015188e-15,HD 269802,83.7857012357,-68.4698629126,*,Star,NIR|*,2.1044,0.0122,11.7,11.53,,10.467,10.293,10.218,,,,,,475.1948298802509,1549.876449344231,1.4662980326934042e+21,1.2567348039776506e+29,1.734221745119494e+34
690743901,84.3964,-68.4324,5.057749940975791e-14,1.9237100790363976e-15,HD 269890,84.3970403497,-68.4326198967,*,Star,X|NIR|*|MIR,11.3153,0.0147,11.38,10.447,10.192,9.086,8.696,8.641,,,,,,88.37591579542743,288.2433519217343,2.726995819819183e+20,4.7264619081333e+28,1.3477794296646703e+33
690744001,85.3904,-68.4307,1.7200499921946057e-12,5.0225299722157785e-14,UCAC2   2073373,85.3929352628,-68.4301244495,HXB,HighMassXBin,X|HX?|Psr|NIR|*|MIR|HXB,0.0321,0.0226,14.03,14.01,14.12,13.843,13.74,13.63,,,,,,31152.647975077885,101606.23052959502,9.612702741433023e+22,1.997293822804404e+35,4.833533715847999e+36
690744001,84.9946,-68.4785,1.1426600496963068e-13,1.0084799680998116e-14,HD 269960,84.9975966946,-68.4783772039,EB*,EclBin,V*|NIR|*|EB*,3.3347,0.0637,12.22,11.37,,10.095,9.812,9.699,,,,,,299.8770504093321,978.0669925330612,9.25323891204606e+20,1.229460155411877e+30,7.869099687103999e+33
690744001,85.5139,-68.3539,6.919540217502004e-14,9.567149894843755e-15,2XMM J054203.6-682110,85.5161372999,-68.3531029451,AGN,AGN,AGN|X|*|Q?,0.4309,0.4469,20.508,19.832,,,,,,,,,,2320.724065908564,7569.180784404733,7.161006219540496e+21,4.458976707647342e+31,3.682803016317339e+31
690744001,85.4305,-68.1542,1.1120399950003116e-14,3.835620142084596e-15,UCAC4 110-009539,85.4323627938,-68.1535298852,*,Star,NIR|*,0.7337,0.0216,13.642,13.075,13.002,11.945,11.663,11.592,,13.312,12.927,12.816,,1362.954886193267,4445.359138612512,4.205639334878015e+21,2.471691835479046e+30,2.076900381306614e+34
