EXTraS_Ape_v0.OBS_ID,EXTraS_Ape_v0.XMM_RA,EXTraS_Ape_v0.XMM_DEC,EXTraS_Ape_v0.XMM_EP_8_FLUX,EXTraS_Ape_v0.XMM_EP_8_FLUX_ERR,main_id,ra,dec,otype,main_type,other_types,plx,plx_err,B,V,R,J,H,K,u,g,r,i,z,distance_pc,distance_ly,distance_cm,XLuminosity,VisibleLuminosity,name,class,id_type,scale,b1,b2,r1,r2,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24,flux_25,flux_26,flux_27,flux_28,flux_29,flux_30,flux_31,flux_32,flux_33,flux_34,flux_35,flux_36,flux_37,flux_38,flux_39,flux_40,flux_41,flux_42,flux_43,flux_44,flux_45,flux_46,flux_47,flux_48,flux_49,flux_50,flux_51,flux_52,flux_53,flux_54,flux_55,flux_56,flux_57,flux_58,flux_59,flux_60,flux_61,flux_62,flux_63,flux_64,flux_65,flux_66,flux_67,flux_68,flux_69,flux_70,flux_71,flux_72,flux_73,flux_74,flux_75,flux_76,flux_77,flux_78,flux_79,flux_80,flux_81,flux_82,flux_83,flux_84,flux_85,flux_86,flux_87,flux_88,flux_89,flux_90,flux_91,flux_92
690742801.0,78.7735,-68.9321,4.1506399960913535e-14,8.914639757992301e-15,OGLE LMC-LPV-32349,78.774102343,-68.9312388267,LP*,LongPeriodV*,NIR|*|LP*,0.5961,0.023,,14.33,,12.696,12.229,12.156,,,,,,1677.570877369569,5471.498070793491,5.176442845160208e+21,1.3976157207509402e+31,1.576390411157822e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690742901.0,79.4173,-69.1122,3.5617501650949893e-14,7.558540009438165e-15,OGLE LMC-RRLYR-10315,79.4209632698,-69.112515998,RR*,RRLyrae,RR*|V*|*,0.3555,0.2741,,19.53,,19.12,,18.99,,,,,,2812.939521800281,9174.571026722926,8.67982441631505e+21,3.372059250539551e+31,2.491339071640344e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690742901.0,79.4909,-69.2652,1.837019983829888e-13,4.207280072834711e-14,RMC  59F,79.4936532825,-69.2649672046,*,Star,NIR|IR|*|MIR,0.3197,0.022,13.087,12.427,,7.61,6.779,6.462,,,,,,3127.932436659368,10201.939318110728,9.651790991554582e+21,2.1505005712872632e+32,3.553606089043617e+36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690742901.0,79.3245,-69.0185,1.788349978900424e-14,5.3856502014949705e-15,OGLE LMC-LPV-36835,79.3258808339,-69.0192321103,LP*,LongPeriodV*,NIR|*|LP*|LP?,0.0445,0.0882,,16.855,,13.052,12.128,11.818,,,,,,22471.91011235955,73293.4831460674,6.934106921348315e+22,1.0805464628001738e+33,1.3307083019771924e+36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690600401.0,10.9595,41.4034,9.804650309957336e-15,4.511759957065605e-15,TYC 2805-2128-1,10.9590398555,41.4032383547,*,Star,X|NIR|*,1.8534,0.0218,11.72,11.22,,10.579,10.432,10.386,,,,,,539.5489370885939,1759.7712312506742,1.6648740584871048e+21,3.415110383312546e+29,2.5933760495586435e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690600401.0,10.6348,41.6709,4.166439871063077e-15,2.1861799666438508e-15,V* HY And,10.6343454888,41.6709347161,Er*,Eruptive*,V*|X|Er*|NIR|*,2.5836,0.1632,,18.4,,14.8,14.229,14.125,,,,,,387.05681994116736,1262.4090416473136,1.194332551478557e+21,7.468364757562994e+28,7.076571495242216e+31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690600401.0,10.7343,41.5614,2.1355799124407738e-15,9.905420337384522e-16,2MASS J00425615+4133411,10.7339617051,41.5614507075,EB*,EclBin,V*|X|SR?|NIR|*|EB*,2.3317,0.1394,20.77,19.54,,15.347,14.572,14.428,,,,,,428.8716387185315,1398.7905819788136,1.3233596002916326e+21,4.699822280620645e+28,5.41827391848086e+31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690600401.0,10.9105,41.6268,6.430220125894921e-15,3.367830103337411e-15,GPM  10.910779+41.627413,10.9108948055,41.6274371309,*,Star,X|NIR|*,4.2189,0.0127,14.48,13.44,,11.756,11.234,11.122,,,,,,237.0286093531489,773.0830311218564,7.3139386569959e+20,4.322533138680416e+28,8.533841309976586e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690600401.0,10.5457,41.4402,3.8512500175438055e-15,2.585510049736865e-15,2MASS J00421086+4126282,10.5452969765,41.441171591,*,Star,NIR|*,1.5144,0.0158,13.04,12.51,,11.791,11.577,11.54,,,,,,660.3275224511358,2153.6978341257263,2.0375578314844165e+21,2.0092383803721145e+29,1.200674348543142e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690600401.0,10.6931,41.5833,2.0143500159308958e-15,7.992480070514226e-16,[DMM2009] J004246.35+413500.7,10.6929792759,41.5835096527,*,Star,NIR|*,0.3875,0.088,18.57,17.7,,15.964,15.353,15.381,,,,,,2580.6451612903224,8416.929032258064,7.963038916129031e+21,1.60510141158466e+30,2.085768152123464e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
